"sub","alpha_mean_SL00_multiVar_LKJ","alpha_median_SL00_multiVar_LKJ","beta_mean_SL00_multiVar_LKJ","beta_median_SL00_multiVar_LKJ","soc_mean_SL00_multiVar_LKJ","soc_median_SL00_multiVar_LKJ","theta_mean_SL00_multiVar_LKJ","theta_median_SL00_multiVar_LKJ","log_lik_SL00_multiVar_LKJ","waic_SL00_multiVar_LKJ"
22,0.0225912440657924,0.00743495,8.00274307493333,4.82955,0.110107857666937,0.0460465,1.1836352865836,1.06546,-47.6760248333333,95.9918159697849
23,0.020450315654661,0.003440605,8.74468520826667,5.467065,0.187785929724538,0.1043575,1.41697190860337,1.455195,-47.3147194,95.3320607576546
24,0.35840375624363,0.02524005,5.14607124791667,2.09651,0.281675432553247,0.1670425,0.843356734358433,0.507321,-48.7424666833333,98.9895160131059
25,0.0283335406673017,0.0112824,7.56898126516667,4.89302,0.243730632775678,0.1442245,1.46836321326583,1.293175,-43.18175565,87.3105831118195
26,0.1993162566887,0.08392325,8.0691734615,5.884635,0.148854192959248,0.06046715,2.47494636149667,2.466535,-7.923849295,16.7558992778688
27,0.126238480868667,0.0785368,4.54379596666667,3.067655,0.0520870577563432,0.03302595,0.898134960439617,0.664699,-21.8787251833333,45.3904229535368
28,0.0310488156785667,0.0264383,14.8810729033333,10.84335,0.517865538986983,0.5222585,4.01513378633333,3.811105,-21.4448507666667,46.6201565931015
29,0.0600745202515053,0.0202665,7.35715921816667,4.639385,0.546331710944585,0.581003,2.212145850175,2.01947,-37.6839342166667,76.9158539805825
30,0.167567245958333,0.1303695,12.6461701283333,9.364605,0.0143742726714244,0.00694094,2.03321868390033,2.027525,-2.714774895,6.72989436055172
31,0.219648946203333,0.1285315,6.73944564333333,4.60526,0.040176588108252,0.0280876,1.47439508766817,1.43831,-10.392269855,21.7041656507659
32,0.316416724621333,0.1714015,5.24637912166667,3.425395,0.147620719715778,0.1354595,2.25638918276,2.1233,-23.6498880833333,48.6092137520391
33,0.31239250719826,0.1105595,5.39957087978333,3.217085,0.87445695025,0.901092,3.47440944666667,3.33861,-29.1536228166667,59.8117250165714
34,0.253625091938333,0.1938845,9.869971925,7.441445,0.0685496689481633,0.0469113,2.86169372104333,2.75629,-6.38113791333333,14.2292320084448
35,0.0313354069671667,0.0126232,12.236919154,9.36294,0.153490477516463,0.0693084,2.211828382305,2.19131,-34.7292572,71.2526746359459
36,0.0726588485252833,0.05488765,4.569956783,2.81131,0.141084232771033,0.07294335,-0.5722000842215,-0.887723,-33.636024,69.6829127036797
37,0.290881048221667,0.169781,5.25913931316667,3.500485,0.234239304373356,0.191354,1.61029463113,1.57338,-13.6423126166667,28.4496904011636
38,0.243507507595033,0.159208,5.103591034,3.61426,0.292540259478227,0.2486795,1.91914570449667,1.69907,-25.3939918,52.1372301605431
