date,time,amazonID,exp_condition,isLeftRisky,indivOrGroup,riskDistributionId,groupSize,room,confirmationID,subjectNumber,round,choice,payoff,totalEarning,socialFreq_safe,socialFreq_risky,behaviouralType,timeElapsed,latency,socialInfo_00,socialInfo_01,socialInfo_02,socialInfo_03,socialInfo_04,socialInfo_05,socialInfo_06,socialInfo_07,socialInfo_08,socialInfo_09,socialInfo_10,socialInfo_11,publicInfo_00,publicInfo_01,publicInfo_02,publicInfo_03,publicInfo_04,publicInfo_05,publicInfo_06,publicInfo_07,publicInfo_08,publicInfo_09,publicInfo_10,publicInfo_11
2020-8-20,10:6:32,5c39a38b48ad2900017f3dfd,binary,false,1,6,6,08200953_session_200,zadClLw6mn6mDltWAACD,2,40,risky,551,5493,2,4,choice,69289,0,risky,sure,risky,sure,risky,risky,,,,,,,53,155,563,148,43,52,,,,,,
2020-8-20,10:6:40,5d5ef53ea55e6a0016d2cae4,binary,true,0,6,1,08200953_sessionIndiv_217,LonhHHxV-RCBQVdGAACS,1,39,risky,48,6956,0,1,choice,76761,0,risky,,,,,,,,,,,,50,,,,,,,,,,,
2020-8-20,10:6:40,5f1eb18d95cef9000a17e468,binary,true,0,6,1,08200953_sessionIndiv_218,r4BFviitZq8Td3_2AACQ,1,47,sure,156,6984,0,1,choice,76857,0,risky,,,,,,,,,,,,48,,,,,,,,,,,
2020-8-20,10:6:42,5d5ef53ea55e6a0016d2cae4,binary,true,0,6,1,08200953_sessionIndiv_217,LonhHHxV-RCBQVdGAACS,1,40,sure,152,7108,0,1,choice,79447,0,risky,,,,,,,,,,,,48,,,,,,,,,,,
2020-8-20,10:6:43,5f1eb18d95cef9000a17e468,binary,true,0,6,1,08200953_sessionIndiv_218,r4BFviitZq8Td3_2AACQ,1,48,sure,149,7133,1,0,choice,79544,0,sure,,,,,,,,,,,,156,,,,,,,,,,,
2020-8-20,10:6:42,5e8dbac020456a04742b3403,binary,false,0,6,1,08200953_sessionIndiv_219,8G1dzbOcNXtlV_mgAACR,1,8,risky,547,1389,0,1,choice,78987,0,risky,,,,,,,,,,,,46,,,,,,,,,,,
2020-8-20,10:6:45,5f1eb18d95cef9000a17e468,binary,true,0,6,1,08200953_sessionIndiv_218,r4BFviitZq8Td3_2AACQ,1,49,sure,149,7282,1,0,choice,81974,0,sure,,,,,,,,,,,,149,,,,,,,,,,,
2020-8-20,10:6:45,5ecf408d36fa30376aeeab1b,binary,false,1,6,6,08200953_session_200,NrhGPw2vqZpQdR5EAABu,1,41,sure,145,5499,2,4,choice,82301,0,risky,risky,sure,sure,risky,risky,,,,,,,551,540,146,149,52,60,,,,,,
2020-8-20,10:6:42,5e57e14bbb69b3197fcf242b,binary,false,1,6,6,08200953_session_200,wSAZWMgEh3Pg273pAACM,7,41,risky,47,8948,2,4,choice,79448,0,risky,risky,sure,sure,risky,risky,,,,,,,551,540,146,149,52,60,,,,,,
2020-8-20,10:6:42,5f1d9627f89919000a375c6f,binary,false,1,6,6,08200953_session_200,vPYu8tPJMq7DwzCjAACL,4,41,sure,155,7932,2,4,choice,79400,0,risky,risky,sure,sure,risky,risky,,,,,,,551,540,146,149,52,60,,,,,,
2020-8-20,10:6:44,58a9dcd132c2cc0001cd2a62,binary,false,1,6,6,08200953_session_200,VTEgkcP5U6FLAyOHAACN,8,41,risky,50,5956,2,4,choice,81285,0,risky,risky,sure,sure,risky,risky,,,,,,,551,540,146,149,52,60,,,,,,
2020-8-20,10:6:44,5da9bc8ef91d670014c12a9c,binary,false,1,6,6,08200953_session_200,xyz8cRIT746AlDQ5AACG,3,41,sure,150,6878,2,4,choice,81138,0,risky,risky,sure,sure,risky,risky,,,,,,,551,540,146,149,52,60,,,,,,
2020-8-20,10:6:42,5c39a38b48ad2900017f3dfd,binary,false,1,6,6,08200953_session_200,zadClLw6mn6mDltWAACD,2,41,risky,49,5542,2,4,choice,79014,0,risky,risky,sure,sure,risky,risky,,,,,,,551,540,146,149,52,60,,,,,,
2020-8-20,10:6:46,5d5ef53ea55e6a0016d2cae4,binary,true,0,6,1,08200953_sessionIndiv_217,LonhHHxV-RCBQVdGAACS,1,41,sure,139,7247,1,0,choice,83122,0,sure,,,,,,,,,,,,152,,,,,,,,,,,
2020-8-20,10:6:47,5f1eb18d95cef9000a17e468,binary,true,0,6,1,08200953_sessionIndiv_218,r4BFviitZq8Td3_2AACQ,1,50,sure,156,7438,1,0,choice,84328,0,sure,,,,,,,,,,,,149,,,,,,,,,,,
2020-8-20,10:6:50,5d5ef53ea55e6a0016d2cae4,binary,true,0,6,1,08200953_sessionIndiv_217,LonhHHxV-RCBQVdGAACS,1,42,sure,147,7394,1,0,choice,86734,0,sure,,,,,,,,,,,,139,,,,,,,,,,,
2020-8-20,10:6:50,5f1eb18d95cef9000a17e468,binary,true,0,6,1,08200953_sessionIndiv_218,r4BFviitZq8Td3_2AACQ,1,51,sure,148,7586,1,0,choice,86746,0,sure,,,,,,,,,,,,156,,,,,,,,,,,
2020-8-20,10:6:51,5e8dbac020456a04742b3403,binary,false,0,6,1,08200953_sessionIndiv_219,8G1dzbOcNXtlV_mgAACR,1,9,risky,47,1436,0,1,choice,87576,0,risky,,,,,,,,,,,,547,,,,,,,,,,,
2020-8-20,10:6:48,5c39a38b48ad2900017f3dfd,binary,false,1,6,6,08200953_session_200,zadClLw6mn6mDltWAACD,2,42,risky,554,6096,3,3,choice,85294,0,risky,sure,risky,sure,risky,sure,,,,,,,49,155,47,150,50,145,,,,,,
2020-8-20,10:6:48,5e57e14bbb69b3197fcf242b,binary,false,1,6,6,08200953_session_200,wSAZWMgEh3Pg273pAACM,7,42,risky,56,9004,3,3,choice,84653,0,risky,sure,risky,sure,risky,sure,,,,,,,49,155,47,150,50,145,,,,,,
